cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes,cvss_score
CVE-2024-9537,ScienceLogic,SL1,ScienceLogic SL1 Unspecified Vulnerability,2024-10-21,ScienceLogic SL1 (formerly EM7) is affected by an unspecified vulnerability involving an unspecified third-party component.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-11,Unknown,https://support.sciencelogic.com/s/article/15527 ; https://nvd.nist.gov/vuln/detail/CVE-2024-9537,,9.9
CVE-2024-39717,Versa,Director,Versa Director Dangerous File Type Upload Vulnerability,2024-08-23,"The Versa Director GUI contains an unrestricted upload of file with dangerous type vulnerability that allows administrators with Provider-Data-Center-Admin or Provider-Data-Center-System-Admin privileges to customize the user interface. The “Change Favicon” (Favorite Icon) enables the upload of a .png file, which can be exploited to upload a malicious file with a .png extension disguised as an image.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-13,Unknown,https://versa-networks.com/blog/versa-security-bulletin-update-on-cve-2024-39717-versa-director-dangerous-file-type-upload-vulnerability/;   https://nvd.nist.gov/vuln/detail/CVE-2024-39717,CWE-434,9.9
CVE-2024-20399,Cisco,NX-OS,Cisco NX-OS Command Injection Vulnerability,2024-07-02,"Cisco NX-OS contains a command injection vulnerability in the command line interface (CLI) that could allow an authenticated, local attacker to execute commands as root on the underlying operating system of an affected device.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-07-23,Unknown,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-nxos-cmd-injection-xD9OhyOP;   https://nvd.nist.gov/vuln/detail/CVE-2024-20399,CWE-78,9.9
CVE-2023-24955,Microsoft,SharePoint Server,Microsoft SharePoint Server Code Injection Vulnerability,2024-03-26,Microsoft SharePoint Server contains a code injection vulnerability that allows an authenticated attacker with Site Owner privileges to execute code remotely.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-04-16,Known,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24955;  https://nvd.nist.gov/vuln/detail/CVE-2023-24955,CWE-94,9.9
CVE-2023-34048,VMware,vCenter Server,VMware vCenter Server Out-of-Bounds Write Vulnerability,2024-01-22,VMware vCenter Server contains an out-of-bounds write vulnerability in the implementation of the DCERPC protocol that allows an attacker to conduct remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-02-12,Unknown,https://www.vmware.com/security/advisories/VMSA-2023-0023.html;  https://nvd.nist.gov/vuln/detail/CVE-2023-34048,CWE-787,9.9
CVE-2023-41990,Apple,Multiple Products,Apple Multiple Products Code Execution Vulnerability,2024-01-08,"Apple iOS, iPadOS, macOS, tvOS, and watchOS contain an unspecified vulnerability that allows for code execution when processing a font file.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-01-29,Unknown,"https://support.apple.com/en-us/HT213599, https://support.apple.com/en-us/HT213601, https://support.apple.com/en-us/HT213605, https://support.apple.com/en-us/HT213606, https://support.apple.com/en-us/HT213842, https://support.apple.com/en-us/HT213844, https://support.apple.com/en-us/HT213845 ;  https://nvd.nist.gov/vuln/detail/CVE-2023-41990",,9.9
CVE-2023-28434,MinIO,MinIO,MinIO Security Feature Bypass Vulnerability,2023-09-19,"MinIO contains a security feature bypass vulnerability that allows an attacker to use crafted requests to bypass metadata bucket name checking and put an object into any bucket while processing `PostPolicyBucket` to conduct privilege escalation. To carry out this attack, the attacker requires credentials with `arn:aws:s3:::*` permission, as well as enabled Console API access.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-10-10,Unknown,https://github.com/minio/minio/security/advisories/GHSA-2pxw-r47w-4p8c;  https://nvd.nist.gov/vuln/detail/CVE-2023-28434,CWE-269,9.9
CVE-2016-0162,Microsoft,Internet Explorer,Microsoft Internet Explorer Information Disclosure Vulnerability,2022-05-24,An information disclosure vulnerability exists when Internet Explorer does not properly handle JavaScript. The vulnerability could allow an attacker to detect specific files on the user's computer.,Apply updates per vendor instructions.,2022-06-14,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0162,CWE-200,9.9
CVE-2021-40449,Microsoft,Windows,Microsoft Windows Win32k Privilege Escalation Vulnerability,2021-11-17,Unspecified vulnerability allows for an authenticated user to escalate privileges.,Apply updates per vendor instructions.,2021-12-01,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-40449,CWE-416,9.9
CVE-2021-42321,Microsoft,Exchange,Microsoft Exchange Server Remote Code Execution Vulnerability,2021-11-17,An authenticated attacker could leverage improper validation in cmdlet arguments within Microsoft Exchange and perform remote code execution.,Apply updates per vendor instructions.,2021-12-01,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-42321,"CWE-184, CWE-502",9.9
CVE-2020-16009,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability,2021-11-03,"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2020-16009,"CWE-787, CWE-843",9.9
CVE-2021-31201,Microsoft,Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerability,2021-11-03,Microsoft Enhanced Cryptographic Provider contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-31201,,9.9
CVE-2020-1472,Microsoft,Netlogon,Microsoft Netlogon Privilege Escalation Vulnerability,2021-11-03,Microsoft's Netlogon Remote Protocol (MS-NRPC) contains a privilege escalation vulnerability when an attacker establishes a vulnerable Netlogon secure channel connection to a domain controller. An attacker who successfully exploits the vulnerability could run a specially crafted application on a device on the network. The vulnerability is also known under the moniker of Zerologon.,Apply updates per vendor instructions.,2020-09-21,Known,Reference CISA's ED 20-04 (https://www.cisa.gov/news-events/directives/ed-20-04-mitigate-netlogon-elevation-privilege-vulnerability-august-2020-patch-tuesday) for further guidance and requirements. Note: The due date for addressing this vulnerability aligns with the requirements outlined in ED 20-04. https://nvd.nist.gov/vuln/detail/CVE-2020-1472,CWE-330,9.9
CVE-2021-1675,Microsoft,Windows,Microsoft Windows Print Spooler Remote Code Execution Vulnerability,2021-11-03,Microsoft Windows Print Spooler contains an unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-1675,CWE-285,9.9
CVE-2016-9563,SAP,NetWeaver,SAP NetWeaver XML External Entity (XXE) Vulnerability,2021-11-03,"SAP NetWeaver Application Server Java Platforms contains an unspecified vulnerability in BC-BMT-BPM-DSK which allows remote, authenticated users to conduct XML External Entity (XXE) attacks.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-9563,CWE-611,9.9
CVE-2025-1316,Edimax,IC-7100 IP Camera,Edimax IC-7100 IP Camera OS Command Injection Vulnerability,2025-03-19,Edimax IC-7100 IP camera contains an OS command injection vulnerability due to improper input sanitization that allows an attacker to achieve remote code execution via specially crafted requests. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-04-09,Unknown,https://www.edimax.com/edimax/post/post/data/edimax/global/press_releases/4801/ ; https://nvd.nist.gov/vuln/detail/CVE-2025-1316,CWE-78,9.8
CVE-2018-8639,Microsoft,Windows,Microsoft Windows Win32k Improper Resource Shutdown or Release Vulnerability,2025-03-03,"Microsoft Windows Win32k contains an improper resource shutdown or release vulnerability that allows for local, authenticated privilege escalation. An attacker who successfully exploited this vulnerability could run arbitrary code in kernel mode.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-03-24,Known,https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2018-8639 ; https://nvd.nist.gov/vuln/detail/CVE-2018-8639,CWE-404,9.8
CVE-2024-0519,Google,Chromium V8,Google Chromium V8 Out-of-Bounds Memory Access Vulnerability,2024-01-17,"Google Chromium V8 Engine contains an out-of-bounds memory access vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-02-07,Unknown,https://chromereleases.googleblog.com/2024/01/stable-channel-update-for-desktop_16.html; https://nvd.nist.gov/vuln/detail/CVE-2024-0519,CWE-787,9.8
CVE-2021-1048,Android,Kernel,Android Kernel Use-After-Free Vulnerability,2022-05-23,Android kernel contains a use-after-free vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2022-06-13,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-1048,CWE-416,9.8
CVE-2015-3113,Adobe,Flash Player,Adobe Flash Player Heap-Based Buffer Overflow Vulnerability,2022-04-13,Heap-based buffer overflow vulnerability in Adobe Flash Player allows remote attackers to execute code.,The impacted product is end-of-life and should be disconnected if still in use.,2022-05-04,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2015-3113,CWE-119,9.8
CVE-2021-22941,Citrix,ShareFile,Citrix ShareFile Improper Access Control Vulnerability,2022-03-25,Improper Access Control in Citrix ShareFile storage zones controller may allow an unauthenticated attacker to remotely compromise the storage zones controller.,Apply updates per vendor instructions.,2022-04-15,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-22941,CWE-284,9.8
CVE-2017-12238,Cisco,Catalyst 6800 Series Switches,Cisco Catalyst 6800 Series Switches VPLS Denial-of-Service Vulnerability,2022-03-03,"A vulnerability in the Virtual Private LAN Service (VPLS) code of Cisco IOS for Cisco Catalyst 6800 Series Switches could allow an unauthenticated, adjacent attacker to cause a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2017-12238,CWE-399,9.8
CVE-2021-30713,Apple,macOS,Apple macOS Unspecified Vulnerability,2021-11-03,"Apple macOS Transparency, Consent, and Control (TCC) contains an unspecified permissions issue which may allow a malicious application to bypass privacy preferences.",Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-30713,CWE-862,9.8
CVE-2016-3715,ImageMagick,ImageMagick,ImageMagick Arbitrary File Deletion Vulnerability,2021-11-03,"ImageMagick contains an unspecified vulnerability that could allow users to delete files by using ImageMagick's 'ephemeral' pseudo protocol, which deletes files after reading.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-3715,CWE-284,9.8
CVE-2018-0802,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability,2021-11-03,Microsoft Office contains a memory corruption vulnerability due to the way objects are handled in memory. Successful exploitation allows for remote code execution in the context of the current user. This vulnerability is known to be chained with CVE-2018-0798.,Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2018-0802,CWE-787,9.8
CVE-2016-3643,SolarWinds,Virtualization Manager,SolarWinds Virtualization Manager Privilege Escalation Vulnerability,2021-11-03,SolarWinds Virtualization Manager allows for privilege escalation through leveraging a misconfiguration of sudo.,Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-3643,CWE-264,9.8
CVE-2025-0111,Palo Alto Networks,PAN-OS,Palo Alto Networks PAN-OS File Read Vulnerability,2025-02-20,Palo Alto Networks PAN-OS contains an external control of file name or path vulnerability. Successful exploitation enables an authenticated attacker with network access to the management web interface to read files on the PAN-OS filesystem that are readable by the “nobody” user.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-03-13,Unknown,https://security.paloaltonetworks.com/CVE-2025-0111 ; https://nvd.nist.gov/vuln/detail/CVE-2025-0111,CWE-73,9.7
CVE-2024-21287,Oracle,Agile Product Lifecycle Management (PLM),Oracle Agile Product Lifecycle Management (PLM) Incorrect Authorization Vulnerability,2024-11-21,Oracle Agile Product Lifecycle Management (PLM) contains an incorrect authorization vulnerability in the Process Extension component of the Software Development Kit. Successful exploitation of this vulnerability may result in unauthenticated file disclosure.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-12,Unknown,https://www.oracle.com/security-alerts/alert-cve-2024-21287.html ; https://nvd.nist.gov/vuln/detail/CVE-2024-21287,CWE-863,9.7
CVE-2024-44309,Apple,Multiple Products,Apple Multiple Products Cross-Site Scripting (XSS) Vulnerability,2024-11-21,"Apple iOS, macOS, and other Apple products contain an unspecified vulnerability when processing maliciously crafted web content that may lead to a cross-site scripting (XSS) attack.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-12,Unknown,"https://support.apple.com/en-us/121752, https://support.apple.com/en-us/121753, https://support.apple.com/en-us/121754, https://support.apple.com/en-us/121755, https://support.apple.com/en-us/121756 ; https://nvd.nist.gov/vuln/detail/CVE-2024-44309",CWE-79,9.7
CVE-2020-15415,DrayTek,Multiple Vigor Routers,DrayTek Multiple Vigor Routers OS Command Injection Vulnerability,2024-09-30,"DrayTek Vigor3900, Vigor2960, and Vigor300B devices contain an OS command injection vulnerability in cgi-bin/mainfunction.cgi/cvmcfgupload that allows for remote code execution via shell metacharacters in a filename when the text/x-python-script content type is used.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-21,Unknown,https://www.draytek.com/about/security-advisory/vigor3900-/-vigor2960-/-vigor300b-remote-code-injection/execution-vulnerability-(cve-2020-14472) ; https://nvd.nist.gov/vuln/detail/CVE-2020-15415,CWE-78,9.7
CVE-2021-33045,Dahua,IP Camera Firmware,Dahua IP Camera Authentication Bypass Vulnerability,2024-08-21,Dahua IP cameras and related products contain an authentication bypass vulnerability when the loopback device is specified by the client during authentication.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-11,Unknown,https://www.dahuasecurity.com/aboutUs/trustedCenter/details/582; https://nvd.nist.gov/vuln/detail/CVE-2021-33045,CWE-287,9.7
CVE-2024-29988,Microsoft,SmartScreen Prompt,Microsoft SmartScreen Prompt Security Feature Bypass Vulnerability,2024-04-30,Microsoft SmartScreen Prompt contains a security feature bypass vulnerability that allows an attacker to bypass the Mark of the Web (MotW) feature. This vulnerability can be chained with CVE-2023-38831 and CVE-2024-21412 to execute a malicious file.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-05-21,Unknown,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-29988; https://nvd.nist.gov/vuln/detail/CVE-2024-29988,CWE-693,9.7
CVE-2023-28205,Apple,Multiple Products,Apple Multiple Products WebKit Use-After-Free Vulnerability,2023-04-10,"Apple iOS, iPadOS, macOS, and Safari WebKit contain a use-after-free vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apply updates per vendor instructions.,2023-05-01,Unknown,"https://support.apple.com/en-us/HT213720,https://support.apple.com/en-us/HT213721,https://support.apple.com/en-us/HT213722,https://support.apple.com/en-us/HT213723;  https://nvd.nist.gov/vuln/detail/CVE-2023-28205",CWE-416,9.7
CVE-2022-36804,Atlassian,Bitbucket Server and Data Center,Atlassian Bitbucket Server and Data Center Command Injection Vulnerability,2022-09-30,"Multiple API endpoints of Atlassian Bitbucket Server and Data Center contain a command injection vulnerability where an attacker with access to a public Bitbucket repository, or with read permissions to a private one, can execute code by sending a malicious HTTP request.",Apply updates per vendor instructions.,2022-10-21,Unknown,https://jira.atlassian.com/browse/BSERV-13438;  https://nvd.nist.gov/vuln/detail/CVE-2022-36804,"CWE-78, CWE-88, CWE-158",9.7
CVE-2008-0655,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Unspecified Vulnerability,2022-06-08,Adobe Acrobat and Reader contains an unespecified vulnerability described as a design flaw which could allow a specially crafted file to be printed silently an arbitrary number of times.,Apply updates per vendor instructions.,2022-06-22,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2008-0655,,9.7
CVE-2014-0322,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability,2022-05-04,Use-after-free vulnerability in Microsoft Internet Explorer allows remote attackers to execute code.,Apply updates per vendor instructions.,2022-05-25,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2014-0322,CWE-416,9.7
CVE-2019-1003029,Jenkins,Script Security Plugin,Jenkins Script Security Plugin Sandbox Bypass Vulnerability,2022-04-25,"Jenkins Script Security Plugin contains a protection mechanism failure, allowing an attacker to bypass the sandbox.",Apply updates per vendor instructions.,2022-05-16,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2019-1003029,,9.7
CVE-2017-0059,Microsoft,Internet Explorer,Microsoft Internet Explorer Information Disclosure Vulnerability,2022-03-28,Microsoft Internet Explorer allow remote attackers to obtain sensitive information from process memory via a crafted web site.,Apply updates per vendor instructions.,2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2017-0059,CWE-200,9.7
CVE-2017-3881,Cisco,IOS and IOS XE,Cisco IOS and IOS XE Remote Code Execution Vulnerability,2022-03-25,"A vulnerability in the Cisco Cluster Management Protocol (CMP) processing code in Cisco IOS and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a reload of an affected device or remotely execute code with elevated privileges.",Apply updates per vendor instructions.,2022-04-15,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2017-3881,CWE-20,9.7
CVE-2013-0625,Adobe,ColdFusion,Adobe ColdFusion Authentication Bypass Vulnerability,2022-03-07,"Adobe Coldfusion contains an authentication bypass vulnerability, which could result in an unauthorized user gaining administrative access.",Apply updates per vendor instructions.,2022-09-07,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2013-0625,CWE-255,9.7
CVE-2015-5119,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,2022-03-03,A use-after-free vulnerability exists within the ActionScript 3 ByteArray class in Adobe Flash Player that allows an attacker to perform remote code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2015-5119,CWE-119,9.7
CVE-2021-21315,Npm package,System Information Library for Node.JS,System Information Library for Node.JS Command Injection,2022-01-18,"In this vulnerability, an attacker can send a malicious payload that will exploit the name parameter. After successful exploitation, attackers can execute remote.",Apply updates per vendor instructions.,2022-02-01,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-21315,CWE-78,9.7
CVE-2021-38003,Google,Chromium V8,Google Chromium V8 Memory Corruption Vulnerability,2021-11-03,"Google Chromium V8 Engine has a bug in JSON.stringify, where the internal TheHole value can leak to script code, causing memory corruption. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-38003,"CWE-122, CWE-755",9.7
CVE-2020-4427,IBM,Data Risk Manager,IBM Data Risk Manager Security Bypass Vulnerability,2021-11-03,"IBM Data Risk Manager contains a security bypass vulnerability that could allow a remote attacker to bypass security restrictions when configured with SAML authentication. By sending a specially crafted HTTP request, an attacker could exploit this vulnerability to bypass the authentication process and gain full administrative access to the system.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2020-4427,,9.7
CVE-2020-15069,Sophos,XG Firewall,Sophos XG Firewall Buffer Overflow Vulnerability,2025-02-06,"Sophos XG Firewall contains a buffer overflow vulnerability that allows for remote code execution via the ""HTTP/S bookmark"" feature.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-02-27,Unknown,https://community.sophos.com/b/security-blog/posts/advisory-buffer-overflow-vulnerability-in-user-portal ; https://nvd.nist.gov/vuln/detail/CVE-2020-15069,CWE-120,9.6
CVE-2019-16278,Nostromo,nhttpd,Nostromo nhttpd Directory Traversal Vulnerability,2024-11-07,Nostromo nhttpd contains a directory traversal vulnerability in the http_verify() function in a non-chrooted nhttpd server allowing for remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-28,Unknown,https://www.nazgul.ch/dev/nostromo_cl.txt ; https://nvd.nist.gov/vuln/detail/CVE-2019-16278,CWE-22,9.6
CVE-2024-43572,Microsoft,Windows,Microsoft Windows Management Console Remote Code Execution Vulnerability,2024-10-08,Microsoft Windows Management Console contains unspecified vulnerability that allows for remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-29,Unknown,https://msrc.microsoft.com/update-guide/advisory/CVE-2024-43572 ; https://nvd.nist.gov/vuln/detail/CVE-2024-43572,CWE-707,9.6
CVE-2021-44529,Ivanti,Endpoint Manager Cloud Service Appliance (EPM CSA),Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) Code Injection Vulnerability ,2024-03-25,Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) contains a code injection vulnerability that allows an unauthenticated user to execute malicious code with limited permissions (nobody).,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-04-15,Unknown,https://forums.ivanti.com/s/article/SA-2021-12-02?language=en_US; https://nvd.nist.gov/vuln/detail/CVE-2021-44529,CWE-94,9.6
CVE-2017-18368,Zyxel,P660HN-T1A Routers,Zyxel P660HN-T1A Routers Command Injection Vulnerability,2023-08-07,"Zyxel P660HN-T1A routers contain a command injection vulnerability in the Remote System Log forwarding function, which is accessible by an unauthenticated user and exploited via the remote_host parameter of the ViewLog.asp page.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-08-28,Unknown,https://www.zyxel.com/global/en/support/security-advisories/zyxel-security-advisory-for-a-new-variant-of-gafgyt-malware; https://www.zyxel.com/global/en/support/security-advisories/zyxel-security-advisory-for-command-injection-vulnerability-in-p660hn-t1a-dsl-cpe; https://nvd.nist.gov/vuln/detail/CVE-2017-18368,CWE-78,9.6
CVE-2023-24880,Microsoft,Windows,Microsoft Windows SmartScreen Security Feature Bypass Vulnerability,2023-03-14,Microsoft Windows SmartScreen contains a security feature bypass vulnerability that could allow an attacker to evade Mark of the Web (MOTW) defenses via a specially crafted malicious file.,Apply updates per vendor instructions.,2023-04-04,Known,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-24880;  https://nvd.nist.gov/vuln/detail/CVE-2023-24880,CWE-863,9.6
